TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;8,91;0,98;-10,82;0,86;0,41;17,80;-0,98;-10,49;-115,53;-177,44;-61,90;0,46;1,13;11,40;-0,53;1,19;-7,96;-3,83;-1,41;0,48;0,52;0,37;5,83;;6.389.177,85;10,34;-0,82;0,03;1.053.988.990,56
ABCB4;15,16;3,28;10,40;0,78;0,08;1,96;-1,80;5,46;-31,54;-31,54;;;0,57;0,78;-0,09;3,23;7,51;0,74;;0,10;0,90;0,14;21,38;-3,68;13.687.566,91;19,41;1,46;-0,29;3.348.705.543,72
ABEV3;15,49;3,17;21,42;3,24;1,95;53,64;27,29;19,49;15,30;14,42;-0,88;-0,19;4,18;130,71;-2,71;1,06;15,14;9,09;17,72;0,60;0,40;0,47;4,56;-1,85;397.900.868,18;4,78;0,72;-6,30;243.736.977.277,85
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;9,35;;63,29;7,41;3,02;11,13;9,30;5,13;34,87;37,10;2,23;0,47;3,24;9,88;-10,19;1,77;11,72;4,78;9,41;0,41;0,59;0,93;;;56.942.295,48;1,26;0,15;2,30;7.164.095.813,60
AFLT3;9,20;7,86;31,02;3,10;2,79;64,85;53,36;52,07;30,27;28,68;-1,59;-0,16;16,15;12,06;-3,80;7,91;9,98;9,00;9,27;0,90;0,10;0,17;5,56;8,17;10.826,17;2,97;0,30;-1,20;580.379.240,00
AGRO3;22,85;3,11;9,61;1,67;0,92;30,80;22,06;24,23;10,55;13,34;2,79;0,44;2,33;7,74;-1,34;1,61;17,40;9,55;9,06;0,55;0,45;0,39;13,49;-7,94;16.893.022,67;13,66;2,38;0,94;1.876.083.277,85
AHEB3;21,90;;-13,79;15,37;0,73;26,80;-6,37;-8,22;-17,79;-15,90;1,95;-1,69;1,13;-7,05;-0,85;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;28.968,83;1,42;-1,59;0,18;187.804.965,30
AHEB5;20,01;;-12,60;14,05;0,66;26,80;-6,37;-8,22;-16,25;-15,90;1,95;-1,69;1,04;-6,44;-0,77;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;4.500,00;1,42;-1,59;0,16;187.804.965,30
AHEB6;27,00;;-17,00;18,95;0,90;26,80;-6,37;-8,22;-21,93;-15,90;1,95;-1,69;1,40;-8,69;-1,04;0,58;-111,50;-5,27;-86,43;0,05;0,95;0,64;-10,10;;5.400,00;1,42;-1,59;0,22;187.804.965,30
ALPA3;31,75;;133,18;6,19;3,88;52,34;8,15;4,17;68,07;70,64;-1,64;-0,15;5,55;13,31;-8,74;2,10;4,64;2,91;8,16;0,63;0,37;0,70;-3,59;-13,58;208.806,30;5,13;0,24;-2,73;19.823.763.226,49
