TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
MTOF11;0,00;0,00;;;1,11;;;191.216.773,48;3,00;Ativa;
OUFF11;82,94;8,99;0,93;245.426,17;2,14;;;161.754.057,18;7.178,00;Ativa;
OUJP11;103,16;7,58;0,99;972.869,54;20,97;-7,34;-0,74;284.435.065,39;24.171,00;Ativa;
PLOG11;92,50;0,04;0,97;303.135,24;5,46;;;71.718.868,95;1.513,00;Ativa;
PNDL11;0,00;0,00;;;85,61;;;8.327.379,74;46,00;Ativa;
PORD11;103,50;8,99;1,02;240.391,43;11,27;;0,75;200.145.258,15;8.761,00;Ativa;
VISC11;108,00;3,63;0,90;2.939.733,66;0,52;-18,65;-0,18;1.706.699.631,90;190.766,00;Ativa;
BZEL11;0,00;0,00;;;0,04;;;735.392.841,75;2,00;Ativa;
CXCE11B;90,43;11,52;1,11;96.581,69;5,82;5,03;-3,04;138.995.510,65;2.606,00;Passiva;
DAMT11B;0,00;0,00;;;0,09;;;104.812.062,33;51,00;Passiva;
ESTQ11;0,00;0,00;;;23,76;;;23.398.890,19;5,00;Ativa;
GALG11;112,00;2,90;1,10;1.907.570,06;2,39;;;571.559.089,48;3.023,00;Ativa;
HBRH11;96,04;8,40;0,88;120.742,71;0,72;;;245.820.085,40;829,00;Ativa;
IFIE11;95,78;2,55;1,07;56.390,74;0,65;;;80.938.474,29;6.676,00;Passiva;
MVFI11;0,00;0,00;;;0,08;;;145.839.591,02;1,00;Ativa;
FPAB11;274,00;7,35;0,61;46.390,16;1,38;-10,84;-9,69;336.198.709,36;991,00;Passiva;
GESE11B;1.520,00;5,49;1,12;456.000,00;4,12;;;70.346.308,44;55,00;Passiva;
LUGG11;96,19;5,94;0,88;39.411,20;0,85;;;98.595.794,26;4.407,00;Ativa;
MORE11;93,06;8,93;0,94;539.081,23;13,09;;;229.316.670,62;6.230,00;Ativa;
PNPR11;0,00;0,00;;;11,74;;;27.461.973,12;13,00;Ativa;
EVBI11;103,77;1,23;1,06;242.259,91;2,30;;;105.838.049,81;71,00;Ativa;
FIIB11;498,98;5,80;1,13;433.545,17;1,24;-2,59;6,81;303.120.333,38;17.754,00;Passiva;
GGRC11;121,29;6,91;0,97;2.858.100,60;25,57;-4,66;-2,83;965.944.774,11;91.780,00;Ativa;
HCRI11;456,00;7,46;1,50;57.872,71;0,48;6,06;7,90;60.625.329,85;3.229,00;Passiva;
HCST11;102,00;0,00;0,95;26.400,05;22,58;;;25.452.407,63;72,00;Ativa;
